Country,Individuals who don't use the internet,Individuals who have low overall digital skills,Individuals who have basic overall digital skills,Individuals who have above basic overall digital skills
NO,4,17,30,49
FI,8,17,33,42
NL,7,20,30,43
UK,9,24,27,40
EE,13,23,27,37
BE,16,24,29,31
MT,25,23,18,34
EU28,22,23,27,28
SI,28,21,25,26
HR,31,18,21,30
LT,29,20,21,30
IT,36,21,24,19
PL,33,27,25,15
MK,30,33,23,14
TR,49,27,12,12
