Year-Month	Encrypted pageloads as a percentage of total pageloads
1-Jul-15	38.1
1-Aug-15	38.3
1-Sep-15	38.8
1-Oct-15	38.6
1-Nov-15	39
1-Dec-15	39.4
1-Jan-16	40.3
1-Feb-16	41.3
1-Mar-16	42.3
1-Apr-16	43.5
1-May-16	44.4
1-Jun-16	45.3
1-Jul-16	44.8
